id,pers_num,gp_name,team,pos,time,year,round,pilot,code,circuit,color,lon,lat
0,2,Great Britain,ALFA ROMEO,1,2:13:23.600,1950,1,G.Farina,GBR,Silverstone,#ffccb3,-1.0169,52.071221
1,3,Great Britain,ALFA ROMEO,2,2:13:26.200,1950,1,L.Fagioli,GBR,Silverstone,#ffffff,-1.0169,52.071221
2,4,Great Britain,ALFA ROMEO,3,2:14:15.600,1950,1,R.Parnell,GBR,Silverstone,#ffffff,-1.0169,52.071221
3,14,Great Britain,TALBOT,4,,1950,1,Y.Giraud-Cabantous,GBR,Silverstone,#ffffff,-1.0169,52.071221
4,15,Great Britain,TALBOT,5,,1950,1,L.Rosier,GBR,Silverstone,#ffffff,-1.0169,52.071221
5,12,Great Britain,ERA,6,,1950,1,B.Gerard,GBR,Silverstone,#ffffff,-1.0169,52.071221
6,11,Great Britain,ERA,7,,1950,1,C.Harrison,GBR,Silverstone,#ffffff,-1.0169,52.071221
7,16,Great Britain,TALBOT,8,,1950,1,P.Etancelin,GBR,Silverstone,#ffffff,-1.0169,52.071221
8,6,Great Britain,MASERATI,9,,1950,1,D.Hampshire,GBR,Silverstone,#ffffff,-1.0169,52.071221
9,10,Great Britain,MASERATI,10,,1950,1,J.Fry,GBR,Silverstone,#ffffff,-1.0169,52.071221
10,10,Great Britain,MASERATI,10,,1950,1,B.Shawe-Taylor,GBR,Silverstone,#ffffff,-1.0169,52.071221
11,18,Great Britain,TALBOT,11,,1950,1,J.Claes,GBR,Silverstone,#ffffff,-1.0169,52.071221
12,1,Great Britain,ALFA ROMEO,r,,1950,1,J.M.Fangio,GBR,Silverstone,#ffffff,-1.0169,52.071221
13,23,Great Britain,ALTA　　,nc,,1950,1,J.Kelly,GBR,Silverstone,#ffffff,-1.0169,52.071221
14,21,Great Britain,MASERATI,r,,1950,1,B.Bira,GBR,Silverstone,#ffffff,-1.0169,52.071221
15,5,Great Britain,MASERATI,r,,1950,1,D.Murray,GBR,Silverstone,#ffffff,-1.0169,52.071221
16,24,Great Britain,ALTA　　,r,,1950,1,G.Crossley,GBR,Silverstone,#ffffff,-1.0169,52.071221
17,20,Great Britain,MASERATI,r,,1950,1,E.de Graffenried,GBR,Silverstone,#ffffff,-1.0169,52.071221
18,19,Great Britain,MASERATI,r,,1950,1,L.Chiron,GBR,Silverstone,#ffffff,-1.0169,52.071221
19,17,Great Britain,TALBOT,r,,1950,1,E.Martin,GBR,Silverstone,#ffffff,-1.0169,52.071221
20,9,Great Britain,ERA,r,,1950,1,P.Walker,GBR,Silverstone,#ffffff,-1.0169,52.071221
21,9,Great Britain,ERA,r,,1950,1,T.Rolt,GBR,Silverstone,#ffffff,-1.0169,52.071221
22,8,Great Britain,ERA,r,,1950,1,L.Johnson,GBR,Silverstone,#ffffff,-1.0169,52.071221
23,34,Monaco,ALFA ROMEO,1,3:13:18.700,1950,2,J.M.Fangio,MCO,Monte Carlo,#ffccb3,7.424616,43.738418
24,40,Monaco,FERRARI,2,,1950,2,A.Ascari,MCO,Monte Carlo,#ffffff,7.424616,43.738418
25,48,Monaco,MASERATI,3,,1950,2,L.Chiron,MCO,Monte Carlo,#ffffff,7.424616,43.738418
26,42,Monaco,FERRARI,4,,1950,2,R.Sommer,MCO,Monte Carlo,#ffffff,7.424616,43.738418
27,50,Monaco,MASERATI,5,,1950,2,B.Bira,MCO,Monte Carlo,#ffffff,7.424616,43.738418
28,26,Monaco,ERA,6,,1950,2,B.Gerard,MCO,Monte Carlo,#ffffff,7.424616,43.738418
29,6,Monaco,TALBOT,7,,1950,2,J.Claes,MCO,Monte Carlo,#ffffff,7.424616,43.738418
30,38,Monaco,FERRARI,r,,1950,2,L.Villoresi,MCO,Monte Carlo,#ffffff,7.424616,43.738418
31,14,Monaco,TALBOT,r,,1950,2,P.Etancelin,MCO,Monte Carlo,#ffffff,7.424616,43.738418
32,2,Monaco,MASERATI,r,,1950,2,F.Gonzalez,MCO,Monte Carlo,#ffffff,7.424616,43.738418
33,36,Monaco,ALFA ROMEO,r,,1950,2,L.Fagioli,MCO,Monte Carlo,#ffffff,7.424616,43.738418
34,32,Monaco,ALFA ROMEO,r,,1950,2,G.Farina,MCO,Monte Carlo,#ffffff,7.424616,43.738418
35,16,Monaco,TALBOT,r,,1950,2,L.Rosier,MCO,Monte Carlo,#ffffff,7.424616,43.738418
36,10,Monaco,GORDINI,r,,1950,2,R.Manzon,MCO,Monte Carlo,#ffffff,7.424616,43.738418
37,8,Monaco,COOPER,r,,1950,2,H.Schell,MCO,Monte Carlo,#ffffff,7.424616,43.738418
38,52,Monaco,MASERATI,r,,1950,2,E.de Graffenried,MCO,Monte Carlo,#ffffff,7.424616,43.738418
39,12,Monaco,GORDINI,r,,1950,2,M.Trintignant,MCO,Monte Carlo,#ffffff,7.424616,43.738418
40,24,Monaco,ERA,r,,1950,2,C.Harrison,MCO,Monte Carlo,#ffffff,7.424616,43.738418
41,44,Monaco,MASERATI,r,,1950,2,F.Rol,MCO,Monte Carlo,#ffffff,7.424616,43.738418
42,4,Monaco,MASERATI,ns,,1950,2,A.Pian,MCO,Monte Carlo,#ffffff,7.424616,43.738418
43,28,Monaco,FERRARI,ns,,1950,2,P.Whitehead,MCO,Monte Carlo,#ffffff,7.424616,43.738418
44,1,Indianapolis,KURTIS KRAFT,1,2:46:55.970,1950,3,J.Parsons,USA,Indianapolis,#ffe6b3,-86.2401133,39.7951753
45,3,Indianapolis,DEIDT,2,,1950,3,B.Holland,USA,Indianapolis,#ffffff,-86.2401133,39.7951753
46,31,Indianapolis,DEIDT,3,,1950,3,M.Rose,USA,Indianapolis,#ffffff,-86.2401133,39.7951753
47,54,Indianapolis,KURTIS KRAFT,4,,1950,3,C.Green,USA,Indianapolis,#ffffff,-86.2401133,39.7951753
48,17,Indianapolis,KURTIS KRAFT,5,,1950,3,J.Chitwood,USA,Indianapolis,#ffffff,-86.2401133,39.7951753
49,17,Indianapolis,KURTIS KRAFT,5,,1950,3,T.Bettenhausen,USA,Indianapolis,#ffffff,-86.2401133,39.7951753
50,8,Indianapolis,MOORE,6,,1950,3,L.Wallard,USA,Indianapolis,#ffffff,-86.2401133,39.7951753
51,98,Indianapolis,KURTIS KRAFT,7,,1950,3,W.Faulkner,USA,Indianapolis,#ffffff,-86.2401133,39.7951753
52,5,Indianapolis,LESOVSKY,8,,1950,3,G.Connor,USA,Indianapolis,#ffffff,-86.2401133,39.7951753
53,7,Indianapolis,NICHELS,9,,1950,3,P.Russo,USA,Indianapolis,#ffffff,-86.2401133,39.7951753
54,59,Indianapolis,KURTIS KRAFT,10,,1950,3,P.Flaherty,USA,Indianapolis,#ffffff,-86.2401133,39.7951753
55,2,Indianapolis,MARCHESE,11,,1950,3,M.Fohr,USA,Indianapolis,#ffffff,-86.2401133,39.7951753
56,18,Indianapolis,STEVENS,12,,1950,3,D.Carter,USA,Indianapolis,#ffffff,-86.2401133,39.7951753
57,15,Indianapolis,KURTIS KRAFT,13,,1950,3,M.Hellings,USA,Indianapolis,#ffffff,-86.2401133,39.7951753
58,49,Indianapolis,KURTIS KRAFT,14,,1950,3,J.McGrath,USA,Indianapolis,#ffffff,-86.2401133,39.7951753
59,55,Indianapolis,LESOVSKY,15,,1950,3,T.Ruttman,USA,Indianapolis,#ffffff,-86.2401133,39.7951753
60,75,Indianapolis,LANGLEY,16,,1950,3,G.Hartley,USA,Indianapolis,#ffffff,-86.2401133,39.7951753
61,22,Indianapolis,EWING,17,,1950,3,J.Davies,USA,Indianapolis,#ffffff,-86.2401133,39.7951753
